meant maxt mint meanh minh day
4 7 2 54 43 1
5 9 3 52 36 2
6 9 3 54 43 3
6 10 3 56 41 4
6 8 3 65 52 5
6 8 4 52 37 6
3 7 -1 48 25 7
0 2 -1 49 36 8
0 4 -1 48 35 9
2 6 -1 52 45 10
3 6 0 58 44 11
3 5 0 83 61 12
5 9 1 64 51 13
7 13 2 68 50 14
9 15 3 65 36 15
8 12 5 73 65 16
6 9 3 55 39 17
4 7 0 57 42 18
4 6 2 58 47 19
4 8 2 54 45 20
7 14 1 59 35 21
8 9 7 87 63 22
8 9 7 91 86 23
8 9 7 90 78 24
10 14 7 68 47 25
12 19 6 70 42 26
11 14 8 67 42 27
8 12 5 61 50 28
3 10 1 44 32 29
4 9 0 54 38 30
7 11 4 58 40 31
